id,zip,month,notices
1,19973,2021-07-01,0
2,19973,2021-08-01,0
3,19973,2021-09-01,0
4,19973,2021-10-01,0
5,19973,2021-11-01,0
6,19973,2021-12-01,0
7,19973,2022-01-01,0
8,19973,2022-02-01,0
9,19973,2022-03-01,1
10,19973,2022-04-01,0
11,19973,2022-05-01,0
12,19973,2022-06-01,0
13,19973,2022-07-01,0
14,19973,2022-08-01,0
15,19973,2022-09-01,0
16,19973,2022-10-01,0
17,19973,2022-11-01,0
18,19973,2022-12-01,0
19,19973,2023-01-01,0
20,19973,2023-02-01,0
21,19973,2023-03-01,0
22,20236,2021-07-01,0
23,20236,2021-08-01,0
24,20236,2021-09-01,0
25,20236,2021-10-01,0
26,20236,2021-11-01,0
27,20236,2021-12-01,0
28,20236,2022-01-01,0
29,20236,2022-02-01,0
30,20236,2022-03-01,1
31,20236,2022-04-01,0
32,20236,2022-05-01,0
33,20236,2022-06-01,0
34,20236,2022-07-01,0
35,20236,2022-08-01,0
36,20236,2022-09-01,0
37,20236,2022-10-01,0
38,20236,2022-11-01,0
39,20236,2022-12-01,0
40,20236,2023-01-01,0
41,20236,2023-02-01,0
42,20236,2023-03-01,0
43,20473,2021-07-01,0
44,20473,2021-08-01,0
45,20473,2021-09-01,0
46,20473,2021-10-01,0
47,20473,2021-11-01,0
48,20473,2021-12-01,0
49,20473,2022-01-01,0
50,20473,2022-02-01,0
51,20473,2022-03-01,1
52,20473,2022-04-01,0
53,20473,2022-05-01,0
54,20473,2022-06-01,0
55,20473,2022-07-01,0
56,20473,2022-08-01,0
57,20473,2022-09-01,0
58,20473,2022-10-01,0
59,20473,2022-11-01,0
60,20473,2022-12-01,0
61,20473,2023-01-01,0
62,20473,2023-02-01,0
63,20473,2023-03-01,0
64,20601,2021-07-01,9
65,20601,2021-08-01,14
66,20601,2021-09-01,26
67,20601,2021-10-01,32
68,20601,2021-11-01,20
69,20601,2021-12-01,17
70,20601,2022-01-01,27
71,20601,2022-02-01,30
72,20601,2022-03-01,51
73,20601,2022-04-01,48
74,20601,2022-05-01,55
